feature,mi,lead,selected
lead_11_V6_morph_p_amp_mean,0.03660977351774732,lead11,False
lead_2_III_temp_rr_std,0.03653938498262228,lead2,False
lead_9_V4_morph_pr_interval_mean,0.03646021434121836,lead9,False
lead_3_AVR_stat_kurtosis,0.03639992857912304,lead3,False
lead_9_V4_morph_qrs_amp_mean,0.036274093183815026,lead9,False
lead_2_III_tf_spectrogram_mean,0.03606140785171537,lead2,False
lead_6_V1_tf_inst_freq_std,0.03601164743962719,lead6,False
lead_6_V1_stat_range,0.035996188872285326,lead6,False
lead_0_I_stat_mad,0.035990945739363366,lead0,False
lead_4_AVL_stat_kurtosis,0.03588107207557991,lead4,False
lead_5_AVF_morph_area_p_mean,0.035705662991889264,lead5,False
lead_4_AVL_temp_rmssd,0.03562941362182279,lead4,False
lead_7_V2_temp_rmssd,0.03560411435157764,lead7,False
lead_6_V1_temp_num_peaks,0.035162619399574525,lead6,False
lead_4_AVL_morph_q_amp_mean,0.035073327006460354,lead4,False
lead_10_V5_stat_max,0.03502158891089095,lead10,False
lead_5_AVF_morph_qt_interval_mean,0.03496838317543216,lead5,False
lead_9_V4_spec_spectral_flux,0.03479999170565877,lead9,False
lead_9_V4_morph_p_qrs_ratio,0.03410752415926965,lead9,False
lead_11_V6_stat_kurtosis,0.03399475449801166,lead11,False
lead_5_AVF_stat_kurtosis,0.0339676849228745,lead5,False
lead_8_V3_tf_wavelet_energy,0.033900012563962044,lead8,False
lead_1_II_morph_st_segment_mean,0.033829405529737275,lead1,False
lead_3_AVR_spec_spectral_bandwidth,0.03377797599180301,lead3,False
lead_3_AVR_morph_area_p_mean,0.0337221007346117,lead3,False
lead_5_AVF_spec_spectral_entropy,0.0336520981410449,lead5,False
lead_11_V6_morph_q_amp_mean,0.0336076862869729,lead11,False
lead_4_AVL_morph_s_amp_mean,0.03360620420362399,lead4,False
lead_9_V4_morph_st_segment_mean,0.03340069252757916,lead9,False
lead_2_III_temp_sdnn,0.03305694150017875,lead2,False
lead_3_AVR_morph_st_segment_mean,0.033021124518667656,lead3,False
lead_9_V4_nonlin_sd1,0.03301971438575282,lead9,False
